Symbol,Score,ENSP
PIGT,1.6766483749985655e-05,9606.ENSP00000279036
LSM14B,3.284147752677897e-05,9606.ENSP00000279068
PPP4C,0.00015585578558926052,9606.ENSP00000279387
DUSP6,6.573044086184155e-05,9606.ENSP00000279488
SEC24D,3.669650064522554e-05,9606.ENSP00000280551
NGLY1,1.857739375535774e-05,9606.ENSP00000280700
ASAP2,4.2202035717195064e-05,9606.ENSP00000281419
PABPC3,7.483919589471869e-05,9606.ENSP00000281589
TXNDC16,6.067587572945095e-05,9606.ENSP00000281741
EPHA4,0.0001254210838840647,9606.ENSP00000281821
FLT1,0.00018901053556921773,9606.ENSP00000282397
PPM1B,7.293325970125131e-05,9606.ENSP00000282412
STK32B,0.00012331510827383858,9606.ENSP00000282908
TXNDC11,7.849440166995706e-05,9606.ENSP00000283033
CETN3,0.0001763617363229242,9606.ENSP00000283122
